"nba_year","nba_draft_Rk","nba_draft_Player","nba_draft_Pk","nba_draft_Tm","nba_draft_College","nba_draft_Yrs","nba_draft_ttl_G","nba_draft_ttl_MP","nba_draft_ttl_PTS","nba_draft_ttl_TRB","nba_draft_ttl_AST","nba_draft_FG","nba_draft__3P","nba_draft_FT","nba_draft_per_MP","nba_draft_per_PTS","nba_draft_per_TRB","nba_draft_per_AST","nba_draft_WS","nba_draft_WS48","nba_draft_BPM","nba_draft_VORP"
"1947","1","Clifton McNeeley","1","PIT","Texas-El Paso","","","","","","","","","","","","","","","","",""
"1947","2","Glen Selbo","2","TRH","Wisconsin","1","13","","42","","23",".196","",".759","","3.2","","1.8","-0.2","","",""
"1947","3","Bulbs Ehlers","3","BOS","Purdue","2","99","","800","","177",".286","",".618","","8.1","","1.8","3.0","","",""
"1947","4","Walt Dropo","4","PRO","UConn","","","","","","","","","","","","","","","","",""
"1947","5","Dick Holub","5","NYK","Long Island University","1","48","","504","","37",".295","",".633","","10.5","","0.8","4.2","","",""
"1947","6","Chink Crossin","6","PHW","Penn","3","147","","694","","223",".318","",".711","","4.7","","1.5","3.7","","",""
"1947","7","Jack Underman","7","STB","Ohio State","","","","","","","","","","","","","","","","",""
"1947","8","Paul Huston","8","CHS","Ohio State","1","46","","164","","27",".237","",".697","","3.6","","0.6","1.2","","",""
"1947","9","Dick O'Keefe","9","WSC","Santa Clara","4","172","","888","37","160",".272","",".640","","5.2","2.2","0.9","1.7","","",""
"1947","10","Larry Killick","10","BLB","University of Vermont","","","","","","","","","","","","","","","","",""
"1947","11","Robert Bolyard","","BLB","Toledo","","","","","","","","","","","","","","","","",""
"1947","12","Elmer Gainer","","BLB","DePaul","2","20","","29","","10",".227","",".643","","1.5","","0.5","-0.3","","",""
"1947","13","Harry Gallatin","","BLB","Truman State University","10","682","15813","8843","6684","1208",".398","",".773","31.9","13.0","11.9","1.8","78.4",".182","",""
"1947","14","Scotty Hamilton","","BLB","West Virginia","","","","","","","","","","","","","","","","",""
"1947","15","Hugh Hampton","","BLB","High Point University","","","","","","","","","","","","","","","","",""
"1947","16","Bob Jake","","BLB","University of Vermont","","","","","","","","","","","","","","","","",""
"1947","17","Charles Raynor","","BLB","Houston","","","","","","","","","","","","","","","","",""
"1947","18","Chick Reiser","","BLB","NYU","3","171","","1773","","346",".321","",".772","","10.4","","2.0","13.2","","",""
"1947","19","John Rusinko","","BLB","Penn State","","","","","","","","","","","","","","","","",""
"1947","20","Bob Alemeida","","BOS","","","","","","","","","","","","","","","","","",""
"1947","21","Hank Biasatti","","BOS","Long Island University","1","6","","6","","0",".400","",".500","","1.0","","0.0","0.1","","",""
"1947","22","Johnny Ezersky","","BOS","Rhode Island","3","135","","1031","","169",".288","",".669","","7.6","","1.3","1.5","","",""
"1947","23","George Felt","","BOS","Northwestern","","","","","","","","","","","","","","","","",""
"1947","24","Jack Hewson","","BOS","Temple","1","24","","65","","1",".247","",".700","","2.7","","0.0","0.1","","",""
"1947","25","John Kelly","","BOS","Notre Dame","","","","","","","","","","","","","","","","",""
"1947","26","George Petrovick","","BOS","","","","","","","","","","","","","","","","","",""
"1947","27","Gene Stump","","BOS","DePaul","3","148","","783","","118",".303","",".692","","5.3","","0.8","1.1","","",""
"1947","28","Ralph Bishop","","CHS","Washington","","","","","","","","","","","","","","","","",""
"1947","29","Jimmy Darden","","CHS","Denver","1","26","","211","","67",".321","",".688","","8.1","","2.6","-0.2","","",""
"1947","30","Hank Decker","","CHS","West Texas A&M University","","","","","","","","","","","","","","","","",""
"1947","31","Andy Phillip","","CHS","Illinois","11","701","15378","6384","2395","3759",".368","",".695","32.2","9.1","4.4","5.4","53.3",".077","",""
